endTime,artistName,trackName,msPlayed
2019-11-02 09:42:00-04:00,Slightly Stoopid,Jimi Baby - Live,1301
2019-11-02 09:45:00-04:00,Sylvan Esso,Die Young,194517
2019-11-02 09:50:00-04:00,Glass Animals,Life Itself,281406
2019-11-02 09:51:00-04:00,The Rolling Stones,Start Me Up - Remastered,575
2019-11-02 09:51:00-04:00,Glass Animals,Youth,93547
2019-11-02 09:52:00-04:00,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,22250
2019-11-02 09:52:00-04:00,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,12394
2019-11-02 09:56:00-04:00,The Rolling Stones,Gimme Shelter,270773
2019-11-02 09:57:00-04:00,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,24236
2019-11-02 09:59:00-04:00,The Dip,Ain't Necessary (The Prince),128448
2019-11-02 10:00:00-04:00,Rainbow Kitten Surprise,Cocaine Jesus,1301
2019-11-02 10:00:00-04:00,Matt Maeson,Cringe,1664
2019-11-02 10:00:00-04:00,Vulfpeck,Wait for the Moment,90197
2019-11-02 10:01:00-04:00,Miya Folick,Deadbody,26581
2019-11-02 10:04:00-04:00,Your Smith,The Spot,1749
2019-11-02 10:04:00-04:00,Sure Sure,Friends,167812
2019-11-02 10:04:00-04:00,Magic City Hippies,Franny,17543
2019-11-02 10:08:00-04:00,Dr. Dog,Heart It Races - Cover Version,233128
2019-11-02 10:17:00-04:00,Pigeons Playing Ping Pong,Horizon,575120
2019-11-02 10:21:00-04:00,The Revivalists,Change,229453
2019-11-02 10:24:00-04:00,Mt. Joy,Astrovan,186133
2019-11-02 10:28:00-04:00,The Wood Brothers,Luckiest Man,233666
2019-11-02 10:31:00-04:00,Fruit Bats,Humbug Mountain Song,184346
2019-11-02 10:34:00-04:00,Netherfriends,Uptown Boys,2759
2019-11-02 10:34:00-04:00,Des Rocs,Outta My Mind,165566
2019-11-02 10:35:00-04:00,The Palms,Levitate,20224
2019-11-02 10:37:00-04:00,Argonaut & Wasp,Beast of Burden,166049
2019-11-02 10:40:00-04:00,Magic Bronson,Nervous,173152
2019-11-02 10:42:00-04:00,Sure Sure,Fat Lady,95382
2019-11-02 10:46:00-04:00,Mosie,Look@Ugo,251477
2019-11-02 10:46:00-04:00,Argonaut & Wasp,Beast of Burden,3221
2019-11-02 10:46:00-04:00,STRFKR,Open Your Eyes,6454
2019-11-02 10:48:00-04:00,Louis Futon,Rewind,80106
2019-11-02 10:51:00-04:00,Generationals,TenTwentyTen,202613
2019-11-02 10:55:00-04:00,Big Wild,Venice Venture,220865
2019-11-02 10:56:00-04:00,Private Island,Dissolve,70241
2019-11-02 10:56:00-04:00,Big Wild,Venice Venture,1813
2019-11-02 10:59:00-04:00,Argonaut & Wasp,Beast of Burden,166049
2019-11-02 11:02:00-04:00,NoMBe,Summer's Gone,213698
2019-11-02 11:05:00-04:00,Max Frost,Die Young,187853
2019-11-02 11:09:00-04:00,STRFKR,Kahlil Gibran,241413
2019-11-02 11:13:00-04:00,Electric Guest,Oh Devil - Radio Version,217386
2019-11-02 11:17:00-04:00,Lewis Del Mar,Painting (Masterpiece),243413
2019-11-02 11:17:00-04:00,HUNNY,Vowels (and the Importance of Being Me),26065
2019-11-02 11:20:00-04:00,Mt. Joy,Dirty Love,164626
2019-11-02 11:23:00-04:00,Yoke Lore,Ride,175118
2019-11-02 11:26:00-04:00,Whethan,When I'm Down,164680
2019-11-02 11:30:00-04:00,Magic City Hippies,BRNT (feat. The EMEFE Horns),264365
