danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_artist
0.638,0.477,7,-6.144,1,0.055,0.193,0.000153,0.358,0.484,112.737,audio_features,5KboIqx30dztT6wmEVFn17,spotify:track:5KboIqx30dztT6wmEVFn17,https://api.spotify.com/v1/tracks/5KboIqx30dztT6wmEVFn17,https://api.spotify.com/v1/audio-analysis/5KboIqx30dztT6wmEVFn17,208955,4,Baby I Don’t Know Oh Oh (feat. Charles Jones) - Vulfpeck
0.956,0.373,6,-7.963,1,0.0773,0.569,0.394,0.314,0.568,119.994,audio_features,3DPFmwFtV5ElQaTniLOdgk,spotify:track:3DPFmwFtV5ElQaTniLOdgk,https://api.spotify.com/v1/tracks/3DPFmwFtV5ElQaTniLOdgk,https://api.spotify.com/v1/audio-analysis/3DPFmwFtV5ElQaTniLOdgk,268333,4,Hunnybee - Unknown Mortal Orchestra
0.443,0.719,5,-5.555,1,0.033,0.0225,0.0,0.227,0.559,155.895,audio_features,0scQIzgcOhnmfqfOTpRUFH,spotify:track:0scQIzgcOhnmfqfOTpRUFH,https://api.spotify.com/v1/tracks/0scQIzgcOhnmfqfOTpRUFH,https://api.spotify.com/v1/audio-analysis/0scQIzgcOhnmfqfOTpRUFH,212885,4,Suicide Saturday - Hippo Campus
0.703,0.759,0,-6.554,1,0.149,0.0484,0.0031,0.664,0.863,94.009,audio_features,1zlclNkERGFrCxznXOgkD3,spotify:track:1zlclNkERGFrCxznXOgkD3,https://api.spotify.com/v1/tracks/1zlclNkERGFrCxznXOgkD3,https://api.spotify.com/v1/audio-analysis/1zlclNkERGFrCxznXOgkD3,226187,4,Celebrate - Anderson .Paak
0.43,0.529,0,-8.971,1,0.0289,0.276,0.0298,0.118,0.515,177.902,audio_features,00lnh0V5FU2N31e3hRLDrM,spotify:track:00lnh0V5FU2N31e3hRLDrM,https://api.spotify.com/v1/tracks/00lnh0V5FU2N31e3hRLDrM,https://api.spotify.com/v1/audio-analysis/00lnh0V5FU2N31e3hRLDrM,170160,4,Cosmic Cowboy - Susto
0.498,0.512,1,-8.201,0,0.053,0.519,0.0,0.106,0.491,166.926,audio_features,6H96yLcXFKuBYTFEEi4Vl2,spotify:track:6H96yLcXFKuBYTFEEi4Vl2,https://api.spotify.com/v1/tracks/6H96yLcXFKuBYTFEEi4Vl2,https://api.spotify.com/v1/audio-analysis/6H96yLcXFKuBYTFEEi4Vl2,223547,4,Willy's Song - Rayland Baxter
0.8,0.539,8,-6.932,1,0.051,0.233,0.0,0.326,0.254,114.992,audio_features,4u9g3VxvxGW9vbQqyWlxhp,spotify:track:4u9g3VxvxGW9vbQqyWlxhp,https://api.spotify.com/v1/tracks/4u9g3VxvxGW9vbQqyWlxhp,https://api.spotify.com/v1/audio-analysis/4u9g3VxvxGW9vbQqyWlxhp,171609,4,Smooth - Dae Zhen
0.628,0.509,7,-14.041,1,0.0879,0.0218,5.39e-05,0.173,0.787,74.918,audio_features,4zVgLHNbE5xlS2iYSoFXX1,spotify:track:4zVgLHNbE5xlS2iYSoFXX1,https://api.spotify.com/v1/tracks/4zVgLHNbE5xlS2iYSoFXX1,https://api.spotify.com/v1/audio-analysis/4zVgLHNbE5xlS2iYSoFXX1,217467,4,Movin' out (Anthony's Song) - The Supervillains
0.526,0.589,9,-6.399,1,0.0374,0.00335,1.44e-06,0.338,0.345,146.952,audio_features,1oJZx6GqvuyzUgPu5OBxlY,spotify:track:1oJZx6GqvuyzUgPu5OBxlY,https://api.spotify.com/v1/tracks/1oJZx6GqvuyzUgPu5OBxlY,https://api.spotify.com/v1/audio-analysis/1oJZx6GqvuyzUgPu5OBxlY,197551,4,Joshua Tree - Cautious Clay
0.447,0.639,0,-11.062,1,0.115,0.0643,0.0216,0.158,0.563,141.78,audio_features,4kQQHnmIzEyQi64G96dKZb,spotify:track:4kQQHnmIzEyQi64G96dKZb,https://api.spotify.com/v1/tracks/4kQQHnmIzEyQi64G96dKZb,https://api.spotify.com/v1/audio-analysis/4kQQHnmIzEyQi64G96dKZb,260109,4,Tomato Can - The Arcs
0.566,0.576,5,-4.859,1,0.0365,0.0578,0.0,0.0523,0.607,138.045,audio_features,53I7CviVHhNYEKth717RLG,spotify:track:53I7CviVHhNYEKth717RLG,https://api.spotify.com/v1/tracks/53I7CviVHhNYEKth717RLG,https://api.spotify.com/v1/audio-analysis/53I7CviVHhNYEKth717RLG,237693,4,Coins - Local Natives
0.409,0.557,10,-7.764,1,0.0409,0.00833,5.69e-06,0.114,0.221,126.648,audio_features,0fISJQwxFIBS3vuvYJ2FyA,spotify:track:0fISJQwxFIBS3vuvYJ2FyA,https://api.spotify.com/v1/tracks/0fISJQwxFIBS3vuvYJ2FyA,https://api.spotify.com/v1/audio-analysis/0fISJQwxFIBS3vuvYJ2FyA,381571,4,Good Thing / Liquor Store - LAW
0.862,0.23,0,-21.312,1,0.0556,0.359,0.000143,0.103,0.549,126.015,audio_features,7aBGmvIMPhysITXJU2q3g7,spotify:track:7aBGmvIMPhysITXJU2q3g7,https://api.spotify.com/v1/tracks/7aBGmvIMPhysITXJU2q3g7,https://api.spotify.com/v1/audio-analysis/7aBGmvIMPhysITXJU2q3g7,221255,4,The Rock Doc - Fruit Bats
0.558,0.454,9,-8.377,0,0.0378,0.376,4.76e-06,0.258,0.285,134.94,audio_features,6nl9BAvm7wMV2mEEChRzA9,spotify:track:6nl9BAvm7wMV2mEEChRzA9,https://api.spotify.com/v1/tracks/6nl9BAvm7wMV2mEEChRzA9,https://api.spotify.com/v1/audio-analysis/6nl9BAvm7wMV2mEEChRzA9,204000,4,Rubble To Rubble - Wilderado
0.884,0.369,7,-9.083,1,0.172,0.611,2.62e-06,0.0662,0.663,87.967,audio_features,6AfU2KufaSiW26u0CQ478O,spotify:track:6AfU2KufaSiW26u0CQ478O,https://api.spotify.com/v1/tracks/6AfU2KufaSiW26u0CQ478O,https://api.spotify.com/v1/audio-analysis/6AfU2KufaSiW26u0CQ478O,195880,4,The Kids - Sol
0.66,0.541,0,-7.851,0,0.0576,0.658,0.00127,0.0928,0.693,93.744,audio_features,3xINh6YqkLfucEtjoa4x7D,spotify:track:3xINh6YqkLfucEtjoa4x7D,https://api.spotify.com/v1/tracks/3xINh6YqkLfucEtjoa4x7D,https://api.spotify.com/v1/audio-analysis/3xINh6YqkLfucEtjoa4x7D,197160,4,Days Like This - Van Morrison
0.525,0.774,9,-4.532,1,0.241,0.24,1.07e-06,0.495,0.526,154.192,audio_features,5h0Jgt873QtgL6nJRBGfT6,spotify:track:5h0Jgt873QtgL6nJRBGfT6,https://api.spotify.com/v1/tracks/5h0Jgt873QtgL6nJRBGfT6,https://api.spotify.com/v1/audio-analysis/5h0Jgt873QtgL6nJRBGfT6,202391,4,That's Life (feat. Mac Miller & Sia) - 88-Keys
0.473,0.534,7,-10.763,1,0.0468,0.689,0.00257,0.729,0.652,165.489,audio_features,6Y8u3sg5HXJbqb4GjN0WwX,spotify:track:6Y8u3sg5HXJbqb4GjN0WwX,https://api.spotify.com/v1/tracks/6Y8u3sg5HXJbqb4GjN0WwX,https://api.spotify.com/v1/audio-analysis/6Y8u3sg5HXJbqb4GjN0WwX,330080,4,"I Know You Rider - Live at Portland Memorial Coliseum, Portland, OR 5/19/74 - Grateful Dead"
0.639,0.675,4,-8.597,0,0.035,0.0667,0.539,0.367,0.511,110.052,audio_features,18buk3oWZf3OnwNeRV6f35,spotify:track:18buk3oWZf3OnwNeRV6f35,https://api.spotify.com/v1/tracks/18buk3oWZf3OnwNeRV6f35,https://api.spotify.com/v1/audio-analysis/18buk3oWZf3OnwNeRV6f35,517253,4,Cue - Papadosio
0.694,0.613,2,-5.993,0,0.0528,0.216,0.02,0.0902,0.486,88.04,audio_features,1dYVG5I5hbAZKlBmIMtSmS,spotify:track:1dYVG5I5hbAZKlBmIMtSmS,https://api.spotify.com/v1/tracks/1dYVG5I5hbAZKlBmIMtSmS,https://api.spotify.com/v1/audio-analysis/1dYVG5I5hbAZKlBmIMtSmS,278694,4,Right Kind - Busty and the Bass
0.577,0.846,10,-7.606,0,0.0351,0.0356,2.77e-05,0.0814,0.693,115.087,audio_features,5T545E02gCrnhkPoHXJPxK,spotify:track:5T545E02gCrnhkPoHXJPxK,https://api.spotify.com/v1/tracks/5T545E02gCrnhkPoHXJPxK,https://api.spotify.com/v1/audio-analysis/5T545E02gCrnhkPoHXJPxK,134900,4,Drugs - M.A.G.S.
0.707,0.675,6,-6.704,0,0.0536,0.229,0.000788,0.334,0.347,115.98,audio_features,16i6EyHRRvbgWSIxy6H2mI,spotify:track:16i6EyHRRvbgWSIxy6H2mI,https://api.spotify.com/v1/tracks/16i6EyHRRvbgWSIxy6H2mI,https://api.spotify.com/v1/audio-analysis/16i6EyHRRvbgWSIxy6H2mI,276500,4,Vacation Home - Whitehall
0.817,0.753,8,-4.977,1,0.25,0.158,0.0,0.103,0.517,112.978,audio_features,6Fd6BVP2VaoqK9LsuDCPJl,spotify:track:6Fd6BVP2VaoqK9LsuDCPJl,https://api.spotify.com/v1/tracks/6Fd6BVP2VaoqK9LsuDCPJl,https://api.spotify.com/v1/audio-analysis/6Fd6BVP2VaoqK9LsuDCPJl,175695,4,Frequency - Elton
0.917,0.541,0,-8.498,1,0.0915,0.625,0.0386,0.239,0.281,109.999,audio_features,5UXefLD56MhlS0GopOoTTm,spotify:track:5UXefLD56MhlS0GopOoTTm,https://api.spotify.com/v1/tracks/5UXefLD56MhlS0GopOoTTm,https://api.spotify.com/v1/audio-analysis/5UXefLD56MhlS0GopOoTTm,209398,4,Mona Lisa - Dan & Drum
0.715,0.533,1,-5.526,0,0.0527,0.0385,0.845,0.153,0.714,81.012,audio_features,3lHCASYVaCPRB9VwmC00hL,spotify:track:3lHCASYVaCPRB9VwmC00hL,https://api.spotify.com/v1/tracks/3lHCASYVaCPRB9VwmC00hL,https://api.spotify.com/v1/audio-analysis/3lHCASYVaCPRB9VwmC00hL,214973,4,Brace Yourself - White Cliffs
0.576,0.535,9,-8.392,1,0.041,0.588,0.0106,0.31,0.196,139.939,audio_features,7l5j3FapCyr6HxUgoAynM2,spotify:track:7l5j3FapCyr6HxUgoAynM2,https://api.spotify.com/v1/tracks/7l5j3FapCyr6HxUgoAynM2,https://api.spotify.com/v1/audio-analysis/7l5j3FapCyr6HxUgoAynM2,280074,4,Gap in the Clouds - Yellow Days
0.708,0.629,9,-8.459,0,0.0436,0.0324,0.133,0.0644,0.962,80.375,audio_features,0FrC2cP7P20AYUOMjPFr2I,spotify:track:0FrC2cP7P20AYUOMjPFr2I,https://api.spotify.com/v1/tracks/0FrC2cP7P20AYUOMjPFr2I,https://api.spotify.com/v1/audio-analysis/0FrC2cP7P20AYUOMjPFr2I,227100,3,Outlines - AM & Shawn Lee
0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995,audio_features,2RiBogNRfulkNf7fVbPOrJ,spotify:track:2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/tracks/2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/audio-analysis/2RiBogNRfulkNf7fVbPOrJ,214720,4,Saturday Sun - Vance Joy
0.483,0.486,0,-11.062,1,0.0434,0.753,0.00479,0.134,0.466,92.048,audio_features,6255IIBwKySv6RYrOeHfQh,spotify:track:6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/tracks/6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/audio-analysis/6255IIBwKySv6RYrOeHfQh,193049,4,All the Debts I Owe - Caamp
0.68,0.24,10,-13.186,1,0.0416,0.901,4.73e-06,0.104,0.34,121.784,audio_features,33uveSpR6psPuw9fcgVSrG,spotify:track:33uveSpR6psPuw9fcgVSrG,https://api.spotify.com/v1/tracks/33uveSpR6psPuw9fcgVSrG,https://api.spotify.com/v1/audio-analysis/33uveSpR6psPuw9fcgVSrG,239925,4,Leave a Light on (Acoustic) [feat. Taylor Meier] - Doc Robinson
0.421,0.107,6,-15.191,1,0.0335,0.948,0.0,0.0881,0.118,104.218,audio_features,2VVWWwQ3FiWnmbukTb6Kd3,spotify:track:2VVWWwQ3FiWnmbukTb6Kd3,https://api.spotify.com/v1/tracks/2VVWWwQ3FiWnmbukTb6Kd3,https://api.spotify.com/v1/audio-analysis/2VVWWwQ3FiWnmbukTb6Kd3,216841,4,I Will Wait - The Mayries
0.709,0.449,3,-10.822,1,0.358,0.242,0.0,0.0547,0.5,165.666,audio_features,6iR55N9LYabXRdfG8iYssa,spotify:track:6iR55N9LYabXRdfG8iYssa,https://api.spotify.com/v1/tracks/6iR55N9LYabXRdfG8iYssa,https://api.spotify.com/v1/audio-analysis/6iR55N9LYabXRdfG8iYssa,208678,4,Fuck It - Bumpin Uglies
